stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After Emission,emission,A,0,0.0,99.0,0,|vac>,0.9987035761534484
After Emission,emission,A,0,0.0,99.0,1,|H_780>,0.0006482119232760497
After Emission,emission,A,0,0.0,99.0,2,|V_780>,0.0006482119232760508
After Emission,emission,A,0,0.0,99.0,3,|H_1517>,8.832443792373341e-33
After Emission,emission,A,0,0.0,99.0,4,|V_1517>,4.5724166164518774e-33
After Emission,emission,A,1,1.0,98.0,0,|vac>,0.998850073959335
After Emission,emission,A,1,1.0,98.0,1,|H_780>,0.0005749630203324682
After Emission,emission,A,1,1.0,98.0,2,|V_780>,0.0005749630203324681
After Emission,emission,A,1,1.0,98.0,3,|H_1517>,9.131114638892042e-33
After Emission,emission,A,1,1.0,98.0,4,|V_1517>,5.959478652630632e-33
After Emission,emission,A,2,2.0,97.00000000000001,0,|vac>,0.9989927843978111
After Emission,emission,A,2,2.0,97.00000000000001,1,|H_780>,0.0005036078010945779
After Emission,emission,A,2,2.0,97.00000000000001,2,|V_780>,0.0005036078010945798
After Emission,emission,A,2,2.0,97.00000000000001,3,|H_1517>,2.419667869494627e-33
After Emission,emission,A,2,2.0,97.00000000000001,4,|V_1517>,6.765912968343252e-33
After Emission,emission,A,3,3.0000000000000004,96.00000000000001,0,|vac>,0.9991306728883869
After Emission,emission,A,3,3.0000000000000004,96.00000000000001,1,|H_780>,0.00043466355580674287
After Emission,emission,A,3,3.0000000000000004,96.00000000000001,2,|V_780>,0.0004346635558067416
After Emission,emission,A,3,3.0000000000000004,96.00000000000001,3,|H_1517>,1.122906914272232e-32
After Emission,emission,A,3,3.0000000000000004,96.00000000000001,4,|V_1517>,8.720976023084312e-33
After Emission,emission,A,4,4.0,95.0,0,|vac>,0.9992626656605572
After Emission,emission,A,4,4.0,95.0,1,|H_780>,0.00036866716972152355
After Emission,emission,A,4,4.0,95.0,2,|V_780>,0.0003686671697215244
After Emission,emission,A,4,4.0,95.0,3,|H_1517>,8.42175588414574e-33
After Emission,emission,A,4,4.0,95.0,4,|V_1517>,1.7594300804964963e-32
After Emission,emission,A,5,5.0,94.00000000000001,0,|vac>,0.9993876520059519
After Emission,emission,A,5,5.0,94.00000000000001,1,|H_780>,0.00030617399702420974
After Emission,emission,A,5,5.0,94.00000000000001,2,|V_780>,0.0003061739970242121
After Emission,emission,A,5,5.0,94.00000000000001,3,|H_1517>,6.919936813899472e-33
After Emission,emission,A,5,5.0,94.00000000000001,4,|V_1517>,6.493977788261824e-33
