stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After Fiber (Heisenberg),after_fiber,A,0,0.0,99.0,0,|vac>,0.9999592724477008
After Fiber (Heisenberg),after_fiber,A,0,0.0,99.0,1,|H>,2.017654057525077e-05
After Fiber (Heisenberg),after_fiber,A,0,0.0,99.0,2,|V>,2.0551011724150226e-05
After Fiber (Heisenberg),after_fiber,A,1,1.0,98.0,0,|vac>,0.9999486917573109
After Fiber (Heisenberg),after_fiber,A,1,1.0,98.0,1,|H>,2.5418243474707632e-05
After Fiber (Heisenberg),after_fiber,A,1,1.0,98.0,2,|V>,2.5889999215067742e-05
After Fiber (Heisenberg),after_fiber,A,2,2.0,97.00000000000001,0,|vac>,0.9999368188661016
After Fiber (Heisenberg),after_fiber,A,2,2.0,97.00000000000001,1,|H>,3.130010618664154e-05
After Fiber (Heisenberg),after_fiber,A,2,2.0,97.00000000000001,2,|V>,3.188102771184959e-05
After Fiber (Heisenberg),after_fiber,A,3,3.0000000000000004,96.00000000000001,0,|vac>,0.9999236537422761
After Fiber (Heisenberg),after_fiber,A,3,3.0000000000000004,96.00000000000001,1,|H>,3.78221444642223e-05
After Fiber (Heisenberg),after_fiber,A,3,3.0000000000000004,96.00000000000001,2,|V>,3.8524113260039916e-05
After Fiber (Heisenberg),after_fiber,A,4,4.0,95.0,0,|vac>,0.999909205456129
After Fiber (Heisenberg),after_fiber,A,4,4.0,95.0,1,|H>,4.497986485780221e-05
After Fiber (Heisenberg),after_fiber,A,4,4.0,95.0,2,|V>,4.581467901277676e-05
After Fiber (Heisenberg),after_fiber,A,5,5.0,94.00000000000001,0,|vac>,0.9998934929404453
After Fiber (Heisenberg),after_fiber,A,5,5.0,94.00000000000001,1,|H>,5.276388801560692e-05
After Fiber (Heisenberg),after_fiber,A,5,5.0,94.00000000000001,2,|V>,5.374317154005123e-05
After Fiber (Heisenberg),after_fiber,A,6,6.000000000000001,93.00000000000001,0,|vac>,0.9998765457499234
After Fiber (Heisenberg),after_fiber,A,6,6.000000000000001,93.00000000000001,1,|H>,6.115957245712344e-05
After Fiber (Heisenberg),after_fiber,A,6,6.000000000000001,93.00000000000001,2,|V>,6.229467761941979e-05
After Fiber (Heisenberg),after_fiber,A,7,7.000000000000001,92.0,0,|vac>,0.9998584048100535
After Fiber (Heisenberg),after_fiber,A,7,7.000000000000001,92.0,1,|H>,7.014664358472986e-05
After Fiber (Heisenberg),after_fiber,A,7,7.000000000000001,92.0,2,|V>,7.144854636220011e-05
After Fiber (Heisenberg),after_fiber,A,8,8.0,91.00000000000001,0,|vac>,0.99983912314396
