stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After BS (Heisenberg),after_bs,A,0,0.0,99.0,0,|vac>,0.9999185528650716
After BS (Heisenberg),after_bs,A,0,0.0,99.0,1,|H>,4.152216612891057e-05
After BS (Heisenberg),after_bs,A,0,0.0,99.0,2,|V>,3.992310307837371e-05
After BS (Heisenberg),after_bs,A,0,0.0,99.0,3,|2H>,6.342654218781886e-10
After BS (Heisenberg),after_bs,A,0,0.0,99.0,4,|2V>,6.093259479185127e-10
After BS (Heisenberg),after_bs,A,0,0.0,99.0,5,|HV>,6.221301528866488e-10
After BS (Heisenberg),after_bs,A,1,1.0,98.0,0,|vac>,0.9999046146249039
After BS (Heisenberg),after_bs,A,1,1.0,98.0,1,|H>,4.8593004901332216e-05
After BS (Heisenberg),after_bs,A,1,1.0,98.0,2,|V>,4.678968699065601e-05
After BS (Heisenberg),after_bs,A,1,1.0,98.0,3,|2H>,9.121743930819174e-10
After BS (Heisenberg),after_bs,A,1,1.0,98.0,4,|2V>,8.76307469333209e-10
After BS (Heisenberg),after_bs,A,1,1.0,98.0,5,|HV>,8.947219492856681e-10
After BS (Heisenberg),after_bs,A,2,2.0,97.00000000000001,0,|vac>,0.999889522173356
After BS (Heisenberg),after_bs,A,2,2.0,97.00000000000001,1,|H>,5.624529019909076e-05
After BS (Heisenberg),after_bs,A,2,2.0,97.00000000000001,2,|V>,5.4228798463529774e-05
After BS (Heisenberg),after_bs,A,2,2.0,97.00000000000001,3,|2H>,1.270753795267023e-09
After BS (Heisenberg),after_bs,A,2,2.0,97.00000000000001,4,|2V>,1.2207874403420155e-09
After BS (Heisenberg),after_bs,A,2,2.0,97.00000000000001,5,|HV>,1.2464407260129671e-09
After BS (Heisenberg),after_bs,A,3,3.0000000000000004,96.00000000000001,0,|vac>,0.9998733103339701
After BS (Heisenberg),after_bs,A,3,3.0000000000000004,96.00000000000001,1,|H>,6.446108170530087e-05
After BS (Heisenberg),after_bs,A,3,3.0000000000000004,96.00000000000001,2,|V>,6.222351605927469e-05
After BS (Heisenberg),after_bs,A,3,3.0000000000000004,96.00000000000001,3,|2H>,1.7229932937129876e-09
After BS (Heisenberg),after_bs,A,3,3.0000000000000004,96.00000000000001,4,|2V>,1.6552447693586005e-09
After BS (Heisenberg),after_bs,A,3,3.0000000000000004,96.00000000000001,5,|HV>,1.690027619771785e-09
After BS (Heisenberg),after_bs,A,4,4.0,95.0,0,|vac>,0.9998560249117856
After BS (Heisenberg),after_bs,A,4,4.0,95.0,1,|H>,7.321687508629104e-05
After BS (Heisenberg),after_bs,A,4,4.0,95.0,2,|V>,7.075150052677904e-05
After BS (Heisenberg),after_bs,A,4,4.0,95.0,3,|2H>,2.2819969932631285e-09
After BS (Heisenberg),after_bs,A,4,4.0,95.0,4,|2V>,2.192268304568323e-09
After BS (Heisenberg),after_bs,A,4,4.0,95.0,5,|HV>,2.2383360172806652e-09
After BS (Heisenberg),after_bs,A,5,5.0,94.00000000000001,0,|vac>,0.9998377233046467
After BS (Heisenberg),after_bs,A,5,5.0,94.00000000000001,1,|H>,8.248329528003255e-05
After BS (Heisenberg),after_bs,A,5,5.0,94.00000000000001,2,|V>,7.978469135581524e-05
