bond_index,left_site,right_site,left_local_dim,right_local_dim,chi
0,0,1,12,12,3
1,1,2,12,5,9
2,2,3,5,5,9
3,3,4,5,5,9
4,4,5,5,5,9
5,5,6,5,5,9
6,6,7,5,5,9
7,7,8,5,5,9
8,8,9,5,5,9
9,9,10,5,5,9
10,10,11,5,5,9
11,11,12,5,5,9
12,12,13,5,5,9
13,13,14,5,5,9
14,14,15,5,5,9
15,15,16,5,5,9
16,16,17,5,5,9
17,17,18,5,5,9
18,18,19,5,5,9
19,19,20,5,5,9
20,20,21,5,5,9
21,21,22,5,5,9
22,22,23,5,5,9
23,23,24,5,5,9
24,24,25,5,5,9
25,25,26,5,5,9
26,26,27,5,5,9
27,27,28,5,5,9
28,28,29,5,5,9
29,29,30,5,5,9
30,30,31,5,5,9
31,31,32,5,5,9
32,32,33,5,5,9
33,33,34,5,5,9
34,34,35,5,5,9
35,35,36,5,5,9
36,36,37,5,5,9
37,37,38,5,5,9
38,38,39,5,5,9
39,39,40,5,5,9
40,40,41,5,5,9
41,41,42,5,5,9
42,42,43,5,5,9
43,43,44,5,5,9
44,44,45,5,5,9
45,45,46,5,5,9
46,46,47,5,5,9
47,47,48,5,5,9
48,48,49,5,5,9
49,49,50,5,5,9
50,50,51,5,5,9
51,51,52,5,5,9
52,52,53,5,5,9
53,53,54,5,5,9
54,54,55,5,5,9
55,55,56,5,5,9
56,56,57,5,5,9
57,57,58,5,5,9
58,58,59,5,5,9
59,59,60,5,5,9
60,60,61,5,5,9
61,61,62,5,5,9
62,62,63,5,5,9
63,63,64,5,5,9
64,64,65,5,5,9
65,65,66,5,5,9
66,66,67,5,5,9
67,67,68,5,5,9
68,68,69,5,5,9
69,69,70,5,5,9
70,70,71,5,5,9
71,71,72,5,5,9
72,72,73,5,5,9
73,73,74,5,5,9
74,74,75,5,5,9
75,75,76,5,5,9
76,76,77,5,5,9
77,77,78,5,5,9
78,78,79,5,5,9
79,79,80,5,5,9
80,80,81,5,5,9
81,81,82,5,5,9
82,82,83,5,5,9
83,83,84,5,5,9
84,84,85,5,5,9
85,85,86,5,5,9
86,86,87,5,5,9
87,87,88,5,5,9
88,88,89,5,5,9
89,89,90,5,5,9
90,90,91,5,5,9
91,91,92,5,5,9
92,92,93,5,5,9
93,93,94,5,5,9
94,94,95,5,5,9
95,95,96,5,5,9
96,96,97,5,5,9
97,97,98,5,5,9
98,98,99,5,5,9
99,99,100,5,5,9
100,100,101,5,5,9
101,101,102,5,5,9
102,102,103,5,5,9
103,103,104,5,5,9
104,104,105,5,5,9
105,105,106,5,5,9
106,106,107,5,5,9
107,107,108,5,5,9
108,108,109,5,5,9
109,109,110,5,5,9
110,110,111,5,5,9
111,111,112,5,5,9
112,112,113,5,5,9
113,113,114,5,5,9
114,114,115,5,5,9
115,115,116,5,5,9
116,116,117,5,5,9
117,117,118,5,5,9
118,118,119,5,5,9
119,119,120,5,5,9
120,120,121,5,5,9
121,121,122,5,5,9
122,122,123,5,5,9
123,123,124,5,5,9
124,124,125,5,5,9
125,125,126,5,5,9
126,126,127,5,5,9
127,127,128,5,5,9
128,128,129,5,5,9
129,129,130,5,5,9
130,130,131,5,5,9
131,131,132,5,5,9
132,132,133,5,5,9
133,133,134,5,5,9
134,134,135,5,5,9
135,135,136,5,5,9
136,136,137,5,5,9
137,137,138,5,5,9
138,138,139,5,5,9
139,139,140,5,5,9
140,140,141,5,5,9
141,141,142,5,5,9
142,142,143,5,5,9
143,143,144,5,5,9
144,144,145,5,5,9
145,145,146,5,5,9
146,146,147,5,5,9
147,147,148,5,5,9
148,148,149,5,5,9
149,149,150,5,5,9
150,150,151,5,5,9
151,151,152,5,5,9
152,152,153,5,5,9
153,153,154,5,5,9
154,154,155,5,5,9
155,155,156,5,5,9
156,156,157,5,5,9
157,157,158,5,5,9
158,158,159,5,5,9
159,159,160,5,5,9
160,160,161,5,5,9
161,161,162,5,5,9
162,162,163,5,5,9
163,163,164,5,5,9
164,164,165,5,5,9
165,165,166,5,5,9
166,166,167,5,5,9
167,167,168,5,5,9
168,168,169,5,5,9
169,169,170,5,5,9
170,170,171,5,5,9
171,171,172,5,5,9
172,172,173,5,5,9
173,173,174,5,5,9
174,174,175,5,5,9
175,175,176,5,5,9
176,176,177,5,5,9
177,177,178,5,5,9
178,178,179,5,5,9
179,179,180,5,5,9
180,180,181,5,5,9
181,181,182,5,5,9
182,182,183,5,5,9
183,183,184,5,5,9
184,184,185,5,5,9
185,185,186,5,5,9
186,186,187,5,5,9
187,187,188,5,5,9
188,188,189,5,5,9
189,189,190,5,5,9
190,190,191,5,5,9
191,191,192,5,5,9
192,192,193,5,5,9
193,193,194,5,5,9
194,194,195,5,5,9
195,195,196,5,5,9
196,196,197,5,5,9
197,197,198,5,5,9
198,198,199,5,5,9
199,199,200,5,5,9
200,200,201,5,5,3
